Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
05/27/2025,03:21:02 PM,Annpick #1,6145,1.250,1044,,,,580,580,5476,Static,29.5,,,,,
06/04/2025,01:10:30 PM,Bond #1,0,0.000,1052,,,1368.8,16,27,5473,Producing,16.7,,,,,
05/21/2025,10:53:18 AM,CarolPick #1,6589,1.250,,,,,,,,,,4.34,85.11,70.74,72.98,59.5
05/21/2025,11:13:58 AM,CarolPick #1,6589,1.250,1077,,,123.2,125,184,6336,Producing,18.9,,,,,
05/28/2025,02:48:47 PM,CR #101,5154,1.250,,,,,,,,,,5.80,86.78,23.78,78.12,15.0
05/28/2025,03:06:48 PM,CR #101,5154,1.250,1166,,,55.5,60,279,4852,Producing,35.9,,,,,
05/21/2025,10:19:20 AM,Dale#1,6894,1.250,,,,,,,,,,7.47,71.61,44.22,57.15,35.3
05/21/2025,10:34:04 AM,Dale#1,6894,1.250,1097,,,,882,882,5629,Static,33.6,,,,,
05/27/2025,03:55:20 PM,Dyess#1,6164,1.250,963,,128.5,128.5,151,185,5907,Producing,50.7,,,,,
05/21/2025,09:17:29 AM,Eileen#1,6691,1.250,1160,,,161.6,223,393,6277,Producing,24.6,,,,,
05/27/2025,11:17:46 AM,Fatheree #1,6452,1.250,1177,,,160.0,373,502,5738,Producing,266.7,,,,,
06/02/2025,10:25:08 AM,Fatheree #1,6452,1.250,1014,,,36.1,18,21,6422,Producing,292.9,,,,,
05/27/2025,02:52:35 PM,Flower #1,6642,1.250,1007,,,16.5,,,6895,Producing,23.7,,,,,
05/20/2025,02:29:54 PM,Joe #1,0,0.000,1007,,,,,,6059,Producing,6.5,,,,,
05/27/2025,11:52:48 AM,Joe #1,0,0.000,1117,,,,,,6734,Producing,5.4,,,,,
06/04/2025,10:48:42 AM,Kay#1,6043,1.250,1079,,,268.6,84,363,5680,Producing,10.4,,,,,
06/04/2025,10:56:45 AM,Kay#1,6043,1.250,,,,,,,,,,4.92,70.29,34.92,59.34,20.5
06/02/2025,11:12:45 AM,La Rosita #1 RE,5847,1.250,1183,,,466.7,638,870,4945,Producing,12.3,,,,,
06/02/2025,11:24:27 AM,La Rosita #1 RE,5847,1.250,1219,,,515.1,828,1231,4583,Producing,13.2,,,,,
06/02/2025,11:32:02 AM,La Rosita #1 RE,5847,1.250,,,,,,,,,,5.61,92.90,28.17,83.69,12.1
05/28/2025,12:38:01 PM,Lander#1,7027,1.500,1235,,,98.9,664,729,6180,Producing,54.7,,,,,
05/27/2025,10:39:04 AM,
05/27/2025,10:39:04 AM,Little 179 #1,6055,1.250,1204,,,1338.2,3603,4324,1613,Producing,-7.0,,,,,
05/28/2025,10:22:02 AM,Little 179 #1,6055,1.250,1225,,,925.9,2271,2659,3277,Producing,-8.4,,,,,
05/28/2025,10:22:02 AM,
05/29/2025,08:21:03 AM,Little 179 #1,6055,1.250,1225,,,747.8,1740,2158,3778,Producing,-8.3,,,,,
06/02/2025,08:31:13 AM,Little 179 #1,6055,1.250,1224,,,489.3,1003,1424,4513,Producing,-6.9,,,,,
05/28/2025,12:11:15 PM,Marguerite #1,6188,1.060,993,,,1398.2,5000,5000,1121,Producing,568.6,,,,,
05/29/2025,02:02:37 PM,
05/29/2025,02:02:37 PM,Marguerite #1,6188,1.060,1026,,,1425.9,4779,4779,1342,Producing,471.6,,,,,
06/02/2025,09:17:59 AM,Marguerite #1,6188,1.060,1026,,,419.4,1286,4915,1206,Producing,220.4,,,,,
05/28/2025,11:00:05 AM,Marpick#1,6888,1.250,904,,21.0,21.0,9,13,6721,Producing,10.2,,,,,
06/04/2025,08:36:29 AM,ParkWay #1,7094,1.500,1236,,,207.8,584,2081,5012,Producing,30.3,,,,,
06/04/2025,08:46:22 AM,ParkWay #1,7094,1.500,,,,,,,,,,6.99,124.10,111.79,115.03,107.2
05/28/2025,11:29:30 AM,Pickwill#1,6470,1.250,1115,,,74.1,18,29,6417,Producing,24.1,,,,,
05/28/2025,11:43:02 AM,Pickwill#1,6470,1.250,,,,,,,,,,5.25,73.80,57.46,58.74,51.1
05/21/2025,08:28:57 AM,RAB #1,6600,1.750,1114,,,445.0,460,627,5973,Producing,26.4,,,,,
05/21/2025,01:54:53 PM,RAB #3,7268,1.250,1044,,,32.1,11,40,7206,Producing,53.4,,,,,
05/29/2025,09:41:57 AM,Thalmann #1 RE,6140,1.250,,,,,,,,,,5.82,120.09,28.21,123.22,0.1
05/29/2025,09:56:30 AM,Thalmann #1 RE,6140,1.250,1027,,,182.5,427,1171,4855,Producing,12.9,,,,,
06/02/2025,12:27:04 PM,Thalmann #1 RE,6140,1.250,1107,,,194.1,446,768,5258,Producing,52.4,,,,,
05/27/2025,12:18:35 PM,TrippleJ#2,5735,1.500,1196,,,,665,665,5070,Static,16.6,,,,,
06/03/2025,02:08:03 PM,Trotter #1,6212,1.250,1056,,,269.1,546,771,5379,Producing,6.5,,,,,
06/03/2025,02:26:59 PM,Trotter #1,6212,1.250,,,,,,,,,,4.51,88.84,60.02,80.78,46.9
